die Gesundheit, Здоров'я, *** ist sehr wichtig.
der Körper, Тіло, Der *** braucht Ruhe.
der Körperteil, Частина тіла, Welcher *** tut weh?
der Kopf, Голова, Mein *** tut weh.
das Auge, Око, Deine *** sind blau.
das Ohr, Вухо, Ich habe ***schmerzen.
die Nase, Ніс, Meine *** ist rot.
der Mund, Рот, Öffnen Sie bitte den ***.
das Haar, Волосся, Sie hat lange ***.
der Hals, Горло / Шия, Ich habe ***schmerzen.
der Arm, Рука (від плеча), Mein *** ist gebrochen.
die Hand, Рука (кисть), Wasch dir bitte die ***.
der Finger, Палець, Mein *** blutet.
das Bein, Нога, Das *** tut weh.
das Knie, Коліно, Mein *** ist dick.
der Fuß, Стопа / Нога (ступня), Ich gehe zu ***.
der Rücken, Спина, Mein *** tut weh.
der Bauch, Живіт, Ich habe ***schmerzen.
