die Gesundheit, Sağlık, *** ist sehr wichtig.
Gute Besserung, Geçmiş olsun!, Du bist krank? ***!
die Krankheit, Hastalık, Welche *** hat er?
der Husten, Öksürük, Ich habe starken ***.
der Schnupfen, Nezle - Burun akıntısı, Im Winter habe ich oft ***.
Gesundheit!, Çok yaşa! (Hapşırana söylenir), ***! - Danke!
das Fieber, Ateş, Das Kind hat hohes ***.
die Erkältung, Soğuk algınlığı, Eine *** ist nicht schlimm.
die Versichertenkarte, Sağlık sigorta kartı, Haben Sie Ihre *** dabei?
der Arzt - die Ärztin, Erkek doktor - Kadın doktor, Ich gehe zum ***.
Was ist los?, Ne oluyor? - Ne var?, Du siehst traurig aus. ***!
der Arzttermin, Doktor randevusu, Ich habe um 10 Uhr einen ***.
Dr., Doktor (Unvan), Das ist *** Weber.
der Doktor, Doktor, Mein Bruder ist ***.
der Patient - die Patientin, Erkek hasta - Kadın hasta, Der *** wartet im Zimmer.
die Praxis, Muayenehane, Die *** ist im Zentrum.
die Praxiszeiten, Muayenehane çalışma saatleri, Wie sind die ***?
schließen, Kapatmak, Die Praxis ist ***.
sollen, -meli -malı (tavsiye-emir), Raluka *** zum Arzt gehen.
der Körper, Vücut, Der *** braucht Ruhe.
der Körperteil, Vücut bölümü, Welcher *** tut weh?
der Kopf, Baş - Kafa, Mein *** tut weh.
das Auge, Göz, Deine *** sind blau.
das Ohr, Kulak, Ich habe ***schmerzen.
die Nase, Burun, Meine *** ist rot.
der Mund, Ağız, Öffnen Sie bitte den ***.
das Haar, Saç, Sie hat lange ***.
der Hals, Boğaz - Boyun, Ich habe ***schmerzen.
der Arm, Kol, Mein *** ist gebrochen.
die Hand, El, Wasch dir bitte die ***.
der Finger, Parmak, Mein *** blutet.
das Bein, Bacak, Das *** tut weh.
das Knie, Diz, Mein *** ist dick.
der Fuß, Ayak, Ich gehe zu ***.
der Rücken, Sırt, Mein *** tut weh.
der Bauch, Karın, Ich habe ***schmerzen.
wehtun, Acımak - Ağrımak, Der Kopf ***.
der - die Nächste, Sıradaki kişi, Wer ist ***?
der Arztbesuch, Doktor ziyareti, Der *** war kurz.
der Schmerz, Ağrı, Haben Sie ***?
Kopfschmerzen, Baş ağrısı, Ich habe bugün ***.
öffnen, Açmak, *** Sie den Mund.
das Rezept, Reçete, Der Arzt schreibt ein ***.
krankschreiben, Rapor yazmak, Der Arzt hat mich ***.
wiederkommen, Tekrar gelmek, Sie müssen morgen ***.
die Kontrolle, Kontrol, Ich muss zur *** kommen.
tun, Yapmak, Was kann ich für Sie ***?
die Entschuldigung, Özür, ***, wie spät ist es?
die Serviette, Peçete, Ich brauche eine ***.
renovieren, Yenilemek - Tadilat yapmak, Wir *** die Küche.
die Reservierung, Rezervasyon, Ich habe eine ***.
vegan, Vegan, Das Essen ist ***.
die Apotheke, Eczane, Wo ist die nächste ***?
das Medikament, İlaç, Ich muss mein *** nehmen.
der Hustensaft, Öksürük şurubu, Der *** hilft gut.
die Tropfen, Damla (İlaç), Nehmen Sie 20 ***.
das Nasenspray, Burun spreyi, Das *** hilft gegen Schnupfen.
die Tablette, Tablet - Hap, Ich nehme eine ***.
gegen, -e karşı, Was hilft *** Fieber?
lieber, Daha ziyade - Tercihen, Ich möchte *** Wasser trinken.
bar, Nakit, Kann ich *** bezahlen?
die Kreditkarte, Kredi kartı, Bezahlen Sie mit ***?
die Fitness, Fit olma - Form, *** ist gut für die Gesundheit.
das Programm, Program, Das *** ist sehr interessant.
das Training, Antrenman, Das *** war anstrengend.
das Krafttraining, Güç antrenmanı, *** macht Spaß.
das Rückentraining, Sırt antrenmanı, *** ist wichtig für meich.
der Trainer - die Trainerin, Antrenör, Der *** hilft mir.
der Einzelkurs, Bireysel kurs, Ich besuche einen ***.
der Gruppenkurs, Grup kursu, Der *** beginnt um 18 Uhr.
der Spaziergang, Yürüyüş, Wir machen einen ***.
die Ernährung, Beslenme, Gesunde *** ist wichtig.
beraten, Danışmanlık yapmak, Der Arzt *** den Patienten.
sich freuen, Sevinmek, Ich *** mich auf den Kurs.
die Lust, İstek - Heves, Hast du *** auf Sport?
allgemein, Genel, Das ist eine *** Frage.
übrigens, Bu arada, ***, ich heiße Thomas.
vorschlagen, Öneride bulunmak, Was *** du vor?
ziemlich, Oldukça, Das ist *** teuer.
der Physiotherapeut - die Physiotherapeutin, Fizyoterapist, Er geht zum ***.
der Fitnesstrainer, Fitness eğitmeni, Der *** zeigt die Übung.
der Fußballtrainer, Futbol antrenörü, Unser *** ist nett.
der Fußballverein, Futbol kulübü, Ich bin im ***.
der Schüler - die Schülerin, Öğrenci, Der *** lernt Deutsch.
der Job, İş, Ich suche einen ***.
das Praktikum, Staj, Ich mache ein *** bei Siemens.
die Größe, Boyut - Büyüklük, Welche *** haben Sie?
unregelmäßig, Düzensiz, Das Verb ist ***.
gesund, Sağlıklı, Obst ist ***.
deshalb, Bu yüzden, Ich bin krank, *** bleibe ich zu Hause.
daneben, Yanında - Bunun yanı sıra, Die Apotheke ist direkt ***.
hoffentlich, Umarım, *** wird es bald besser.
vor allem, Özellikle, Er trinkt ***
